NAME,DP03_0061PE,DP03_0061PM,DP03_0062E,DP03_0062M,state_fips,county_fips,county_subdivision_fips,municipality_base,county,municipality_type,municipality,pct_200k_plus,pct_200k_plus_moe,median_income,median_income_moe,median_income_low,median_income_high,state_rank
"Stewartstown borough, York County, Pennsylvania",10.3,6.5,81250.0,18535.0,42,133,74104,Stewartstown,York County,Borough,Stewartstown,10.3,6.5,81250.0,18535.0,62715.0,99785.0,649
"Lincoln township, Somerset County, Pennsylvania",10.3,5.8,81364.0,14888.0,42,111,43440,Lincoln,Somerset County,Township,Lincoln,10.3,5.8,81364.0,14888.0,66476.0,96252.0,649
"Liberty township, Montour County, Pennsylvania",10.3,3.8,94438.0,13189.0,42,093,43112,Liberty,Montour County,Township,Liberty,10.3,3.8,94438.0,13189.0,81249.0,107627.0,649
"Pittsburgh city, Allegheny County, Pennsylvania",10.3,0.6,65742.0,1484.0,42,003,61000,Pittsburgh,Allegheny County,City,Pittsburgh,10.3,0.6,65742.0,1484.0,64258.0,67226.0,649
"Mount Joy township, Lancaster County, Pennsylvania",10.3,4.4,97926.0,10298.0,42,071,51664,Mount Joy,Lancaster County,Township,Mount Joy Township,10.3,4.4,97926.0,10298.0,87628.0,108224.0,649
"East Donegal township, Lancaster County, Pennsylvania",10.3,3.6,109158.0,7014.0,42,071,21032,East Donegal,Lancaster County,Township,East Donegal,10.3,3.6,109158.0,7014.0,102144.0,116172.0,649
"Gilmore township, Greene County, Pennsylvania",10.3,10.9,73750.0,15476.0,42,059,29152,Gilmore,Greene County,Township,Gilmore,10.3,10.9,73750.0,15476.0,58274.0,89226.0,649
"Reading township, Adams County, Pennsylvania",10.3,4.2,95417.0,20096.0,42,001,63616,Reading,Adams County,Township,Reading,10.3,4.2,95417.0,20096.0,75321.0,115513.0,649
"Shamokin township, Northumberland County, Pennsylvania",10.3,6.7,95000.0,23269.0,42,097,69608,Shamokin,Northumberland County,Township,Shamokin Township,10.3,6.7,95000.0,23269.0,71731.0,118269.0,649
"Packer township, Carbon County, Pennsylvania",10.2,6.5,77981.0,11640.0,42,025,57504,Packer,Carbon County,Township,Packer,10.2,6.5,77981.0,11640.0,66341.0,89621.0,659
"Delaware township, Pike County, Pennsylvania",10.2,3.7,86478.0,6521.0,42,103,18704,Delaware,Pike County,Township,Delaware,10.2,3.7,86478.0,6521.0,79957.0,92999.0,659
"Harborcreek township, Erie County, Pennsylvania",10.2,2.5,87329.0,7794.0,42,049,32520,Harborcreek,Erie County,Township,Harborcreek,10.2,2.5,87329.0,7794.0,79535.0,95123.0,659
"Cherry township, Butler County, Pennsylvania",10.2,5.5,73393.0,11350.0,42,019,12992,Cherry,Butler County,Township,Cherry,10.2,5.5,73393.0,11350.0,62043.0,84743.0,659
"Chartiers township, Washington County, Pennsylvania",10.1,5.0,99777.0,8149.0,42,125,12848,Chartiers,Washington County,Township,Chartiers,10.1,5.0,99777.0,8149.0,91628.0,107926.0,663
"Franklin township, Beaver County, Pennsylvania",10.1,6.4,82917.0,14783.0,42,007,27336,Franklin,Beaver County,Township,Franklin,10.1,6.4,82917.0,14783.0,68134.0,97700.0,663
"Heidelberg township, Berks County, Pennsylvania",10.1,4.2,85000.0,10632.0,42,011,33600,Heidelberg,Berks County,Township,Heidelberg,10.1,4.2,85000.0,10632.0,74368.0,95632.0,663
"North Newton township, Cumberland County, Pennsylvania",10.1,4.5,78125.0,10374.0,42,041,55248,North Newton,Cumberland County,Township,North Newton,10.1,4.5,78125.0,10374.0,67751.0,88499.0,663
"Allegheny township, Westmoreland County, Pennsylvania",10.0,3.8,79894.0,12802.0,42,129,00892,Allegheny,Westmoreland County,Township,Allegheny,10.0,3.8,79894.0,12802.0,67092.0,92696.0,667
"Rutland township, Tioga County, Pennsylvania",10.0,5.4,70500.0,9734.0,42,117,66912,Rutland,Tioga County,Township,Rutland,10.0,5.4,70500.0,9734.0,60766.0,80234.0,667
"West Finley township, Washington County, Pennsylvania",10.0,4.1,77708.0,10219.0,42,125,83000,West Finley,Washington County,Township,West Finley,10.0,4.1,77708.0,10219.0,67489.0,87927.0,667
"Hemlock township, Columbia County, Pennsylvania",10.0,4.2,89091.0,5597.0,42,037,33760,Hemlock,Columbia County,Township,Hemlock,10.0,4.2,89091.0,5597.0,83494.0,94688.0,667
"North Middleton township, Cumberland County, Pennsylvania",10.0,3.5,84580.0,11672.0,42,041,55216,North Middleton,Cumberland County,Township,North Middleton,10.0,3.5,84580.0,11672.0,72908.0,96252.0,667
"Lenox township, Susquehanna County, Pennsylvania",10.0,4.2,75833.0,19166.0,42,115,42760,Lenox,Susquehanna County,Township,Lenox,10.0,4.2,75833.0,19166.0,56667.0,94999.0,667
"Larksville borough, Luzerne County, Pennsylvania",10.0,4.7,56942.0,13937.0,42,079,41608,Larksville,Luzerne County,Borough,Larksville,10.0,4.7,56942.0,13937.0,43005.0,70879.0,667
"Ringtown borough, Schuylkill County, Pennsylvania",10.0,4.8,87955.0,28367.0,42,107,65000,Ringtown,Schuylkill County,Borough,Ringtown,10.0,4.8,87955.0,28367.0,59588.0,116322.0,667
"Washington township, Franklin County, Pennsylvania",9.9,2.7,78477.0,5760.0,42,055,81240,Washington,Franklin County,Township,Washington,9.9,2.7,78477.0,5760.0,72717.0,84237.0,675
"Cherry Ridge township, Wayne County, Pennsylvania",9.9,4.0,80250.0,21403.0,42,127,13096,Cherry Ridge,Wayne County,Township,Cherry Ridge,9.9,4.0,80250.0,21403.0,58847.0,101653.0,675
"Jackson township, Monroe County, Pennsylvania",9.9,4.8,87208.0,10916.0,42,089,37424,Jackson,Monroe County,Township,Jackson,9.9,4.8,87208.0,10916.0,76292.0,98124.0,675
"South Coatesville borough, Chester County, Pennsylvania",9.9,3.8,76005.0,3442.0,42,029,72072,South Coatesville,Chester County,Borough,South Coatesville,9.9,3.8,76005.0,3442.0,72563.0,79447.0,675
"Millcreek township, Erie County, Pennsylvania",9.9,1.6,76390.0,4146.0,42,049,49548,Millcreek,Erie County,Township,Millcreek,9.9,1.6,76390.0,4146.0,72244.0,80536.0,675
"Whiteley township, Greene County, Pennsylvania",9.9,5.9,57875.0,29444.0,42,059,84608,Whiteley,Greene County,Township,Whiteley,9.9,5.9,57875.0,29444.0,28431.0,87319.0,675
"East Pennsboro township, Cumberland County, Pennsylvania",9.9,3.0,83388.0,9334.0,42,041,21680,East Pennsboro,Cumberland County,Township,East Pennsboro,9.9,3.0,83388.0,9334.0,74054.0,92722.0,675
"Damascus township, Wayne County, Pennsylvania",9.9,7.0,75357.0,19431.0,42,127,18104,Damascus,Wayne County,Township,Damascus,9.9,7.0,75357.0,19431.0,55926.0,94788.0,675
"West Hempfield township, Lancaster County, Pennsylvania",9.9,2.5,98099.0,10083.0,42,071,83152,West Hempfield,Lancaster County,Township,West Hempfield,9.9,2.5,98099.0,10083.0,88016.0,108182.0,675
"Prospect Park borough, Delaware County, Pennsylvania",9.9,9.4,63077.0,17968.0,42,045,62792,Prospect Park,Delaware County,Borough,Prospect Park,9.9,9.4,63077.0,17968.0,45109.0,81045.0,675
"Donegal township, Washington County, Pennsylvania",9.9,4.6,79833.0,12348.0,42,125,19464,Donegal,Washington County,Township,Donegal,9.9,4.6,79833.0,12348.0,67485.0,92181.0,675
"Frankstown township, Blair County, Pennsylvania",9.9,3.2,97714.0,10119.0,42,013,27600,Frankstown,Blair County,Township,Frankstown,9.9,3.2,97714.0,10119.0,87595.0,107833.0,675
"District township, Berks County, Pennsylvania",9.9,3.5,100677.0,12349.0,42,011,19312,District,Berks County,Township,District,9.9,3.5,100677.0,12349.0,88328.0,113026.0,675
"Middlesex township, Cumberland County, Pennsylvania",9.9,3.9,76833.0,14766.0,42,041,49072,Middlesex,Cumberland County,Township,Middlesex,9.9,3.9,76833.0,14766.0,62067.0,91599.0,675
"Wharton township, Fayette County, Pennsylvania",9.8,6.5,71667.0,16794.0,42,051,84344,Wharton,Fayette County,Township,Wharton,9.8,6.5,71667.0,16794.0,54873.0,88461.0,689
"Wellsboro borough, Tioga County, Pennsylvania",9.8,5.8,66201.0,3439.0,42,117,82160,Wellsboro,Tioga County,Borough,Wellsboro,9.8,5.8,66201.0,3439.0,62762.0,69640.0,689
"Riegelsville borough, Bucks County, Pennsylvania",9.8,4.1,93750.0,20885.0,42,017,64856,Riegelsville,Bucks County,Borough,Riegelsville,9.8,4.1,93750.0,20885.0,72865.0,114635.0,689
"Buckingham township, Wayne County, Pennsylvania",9.8,5.7,53958.0,11061.0,42,127,09824,Buckingham,Wayne County,Township,Buckingham,9.8,5.7,53958.0,11061.0,42897.0,65019.0,689
"Cassville borough, Huntingdon County, Pennsylvania",9.8,14.4,52292.0,26327.0,42,061,11632,Cassville,Huntingdon County,Borough,Cassville,9.8,14.4,52292.0,26327.0,25965.0,78619.0,689
"Little Mahanoy township, Northumberland County, Pennsylvania",9.8,9.4,71500.0,17517.0,42,097,43912,Little Mahanoy,Northumberland County,Township,Little Mahanoy,9.8,9.4,71500.0,17517.0,53983.0,89017.0,689
"Stevens township, Bradford County, Pennsylvania",9.8,5.9,63000.0,12876.0,42,015,74032,Stevens,Bradford County,Township,Stevens,9.8,5.9,63000.0,12876.0,50124.0,75876.0,689
"Catasauqua borough, Lehigh County, Pennsylvania",9.7,4.5,85049.0,34570.0,42,077,11720,Catasauqua,Lehigh County,Borough,Catasauqua,9.7,4.5,85049.0,34570.0,50479.0,119619.0,696
"South Lebanon township, Lebanon County, Pennsylvania",9.7,2.9,85120.0,10881.0,42,075,72288,South Lebanon,Lebanon County,Township,South Lebanon,9.7,2.9,85120.0,10881.0,74239.0,96001.0,696
"Paupack township, Wayne County, Pennsylvania",9.7,3.9,75302.0,13832.0,42,127,58480,Paupack,Wayne County,Township,Paupack,9.7,3.9,75302.0,13832.0,61470.0,89134.0,696
"Barrett township, Monroe County, Pennsylvania",9.7,6.0,84857.0,18421.0,42,089,04320,Barrett,Monroe County,Township,Barrett,9.7,6.0,84857.0,18421.0,66436.0,103278.0,696
"Bridgewater township, Susquehanna County, Pennsylvania",9.7,5.0,65625.0,14554.0,42,115,08648,Bridgewater,Susquehanna County,Township,Bridgewater,9.7,5.0,65625.0,14554.0,51071.0,80179.0,696
"Millbourne borough, Delaware County, Pennsylvania",9.7,9.7,54219.0,24194.0,42,045,49504,Millbourne,Delaware County,Borough,Millbourne,9.7,9.7,54219.0,24194.0,30025.0,78413.0,696
"Mount Pleasant township, Wayne County, Pennsylvania",9.7,3.8,83750.0,6813.0,42,127,51872,Mount Pleasant,Wayne County,Township,Mount Pleasant,9.7,3.8,83750.0,6813.0,76937.0,90563.0,696
"Huntington township, Adams County, Pennsylvania",9.7,4.2,75324.0,10820.0,42,001,36424,Huntington,Adams County,Township,Huntington,9.7,4.2,75324.0,10820.0,64504.0,86144.0,696
"Wayne township, Clinton County, Pennsylvania",9.7,5.1,72396.0,19785.0,42,035,81728,Wayne,Clinton County,Township,Wayne,9.7,5.1,72396.0,19785.0,52611.0,92181.0,696
"Roseto borough, Northampton County, Pennsylvania",9.7,7.4,74625.0,13524.0,42,095,66168,Roseto,Northampton County,Borough,Roseto,9.7,7.4,74625.0,13524.0,61101.0,88149.0,696
"Nescopeck township, Luzerne County, Pennsylvania",9.7,4.3,85789.0,18725.0,42,079,52992,Nescopeck,Luzerne County,Township,Nescopeck Township,9.7,4.3,85789.0,18725.0,67064.0,104514.0,696
"Beaver borough, Beaver County, Pennsylvania",9.6,4.5,81156.0,17519.0,42,007,04688,Beaver,Beaver County,Borough,Beaver,9.6,4.5,81156.0,17519.0,63637.0,98675.0,707
"Jefferson township, Lackawanna County, Pennsylvania",9.6,4.8,92234.0,8651.0,42,069,37896,Jefferson,Lackawanna County,Township,Jefferson,9.6,4.8,92234.0,8651.0,83583.0,100885.0,707
"Beech Creek township, Clinton County, Pennsylvania",9.6,7.5,75268.0,18013.0,42,035,04992,Beech Creek,Clinton County,Township,Beech Creek Township,9.6,7.5,75268.0,18013.0,57255.0,93281.0,707
"Penn township, Perry County, Pennsylvania",9.6,6.4,59053.0,10856.0,42,099,58856,Penn,Perry County,Township,Penn,9.6,6.4,59053.0,10856.0,48197.0,69909.0,707
"Stewart township, Fayette County, Pennsylvania",9.6,5.8,58750.0,17467.0,42,051,74080,Stewart,Fayette County,Township,Stewart,9.6,5.8,58750.0,17467.0,41283.0,76217.0,707
"Taylor township, Fulton County, Pennsylvania",9.6,6.4,75179.0,15881.0,42,057,76176,Taylor,Fulton County,Township,Taylor,9.6,6.4,75179.0,15881.0,59298.0,91060.0,707
"Ephrata township, Lancaster County, Pennsylvania",9.6,3.6,85058.0,20871.0,42,071,23840,Ephrata,Lancaster County,Township,Ephrata Township,9.6,3.6,85058.0,20871.0,64187.0,105929.0,707
"Dimock township, Susquehanna County, Pennsylvania",9.6,4.7,87946.0,7829.0,42,115,19264,Dimock,Susquehanna County,Township,Dimock,9.6,4.7,87946.0,7829.0,80117.0,95775.0,707
"Fairfield township, Lycoming County, Pennsylvania",9.6,3.7,73409.0,9107.0,42,081,24592,Fairfield,Lycoming County,Township,Fairfield,9.6,3.7,73409.0,9107.0,64302.0,82516.0,707
"South Middleton township, Cumberland County, Pennsylvania",9.6,2.6,92421.0,10687.0,42,041,72336,South Middleton,Cumberland County,Township,South Middleton,9.6,2.6,92421.0,10687.0,81734.0,103108.0,707
"Harford township, Susquehanna County, Pennsylvania",9.6,5.7,90417.0,12492.0,42,115,32568,Harford,Susquehanna County,Township,Harford,9.6,5.7,90417.0,12492.0,77925.0,102909.0,707
"Hatfield borough, Montgomery County, Pennsylvania",9.6,4.6,80962.0,22914.0,42,091,33112,Hatfield,Montgomery County,Borough,Hatfield Borough,9.6,4.6,80962.0,22914.0,58048.0,103876.0,707
"East Stroudsburg borough, Monroe County, Pennsylvania",9.6,4.1,59821.0,7691.0,42,089,21872,East Stroudsburg,Monroe County,Borough,East Stroudsburg,9.6,4.1,59821.0,7691.0,52130.0,67512.0,707
"Sinking Spring borough, Berks County, Pennsylvania",9.5,3.2,82500.0,21321.0,42,011,70880,Sinking Spring,Berks County,Borough,Sinking Spring,9.5,3.2,82500.0,21321.0,61179.0,103821.0,720
"Cooke township, Cumberland County, Pennsylvania",9.5,8.4,103750.0,18093.0,42,041,15920,Cooke,Cumberland County,Township,Cooke,9.5,8.4,103750.0,18093.0,85657.0,121843.0,720
"Quincy township, Franklin County, Pennsylvania",9.5,4.8,63357.0,13484.0,42,055,63200,Quincy,Franklin County,Township,Quincy,9.5,4.8,63357.0,13484.0,49873.0,76841.0,720
"Rockledge borough, Montgomery County, Pennsylvania",9.5,6.3,92639.0,24270.0,42,091,65568,Rockledge,Montgomery County,Borough,Rockledge,9.5,6.3,92639.0,24270.0,68369.0,116909.0,720
"South Manheim township, Schuylkill County, Pennsylvania",9.5,4.1,91979.0,11697.0,42,107,72312,South Manheim,Schuylkill County,Township,South Manheim,9.5,4.1,91979.0,11697.0,80282.0,103676.0,720
"Lehigh township, Northampton County, Pennsylvania",9.5,3.2,89741.0,12847.0,42,095,42424,Lehigh,Northampton County,Township,Lehigh,9.5,3.2,89741.0,12847.0,76894.0,102588.0,720
"Milford borough, Pike County, Pennsylvania",9.5,5.1,74844.0,24286.0,42,103,49400,Milford,Pike County,Borough,Milford Borough,9.5,5.1,74844.0,24286.0,50558.0,99130.0,720
"Ridley Park borough, Delaware County, Pennsylvania",9.5,3.2,93594.0,15312.0,42,045,64832,Ridley Park,Delaware County,Borough,Ridley Park,9.5,3.2,93594.0,15312.0,78282.0,108906.0,720
"Eldred township, Monroe County, Pennsylvania",9.5,7.1,70526.0,16868.0,42,089,22904,Eldred,Monroe County,Township,Eldred,9.5,7.1,70526.0,16868.0,53658.0,87394.0,720
"Haysville borough, Allegheny County, Pennsylvania",9.5,11.3,67778.0,22401.0,42,003,33312,Haysville,Allegheny County,Borough,Haysville,9.5,11.3,67778.0,22401.0,45377.0,90179.0,720
"Eldred township, Lycoming County, Pennsylvania",9.4,3.8,99464.0,22261.0,42,081,22880,Eldred,Lycoming County,Township,Eldred,9.4,3.8,99464.0,22261.0,77203.0,121725.0,730
"South Franklin township, Washington County, Pennsylvania",9.4,4.4,89318.0,35842.0,42,125,72176,South Franklin,Washington County,Township,South Franklin,9.4,4.4,89318.0,35842.0,53476.0,125160.0,730
"Paradise township, Monroe County, Pennsylvania",9.4,5.6,86991.0,19099.0,42,089,57856,Paradise,Monroe County,Township,Paradise,9.4,5.6,86991.0,19099.0,67892.0,106090.0,730
"Dover township, York County, Pennsylvania",9.4,3.1,81452.0,7447.0,42,133,19704,Dover,York County,Township,Dover Township,9.4,3.1,81452.0,7447.0,74005.0,88899.0,730
"Miller township, Perry County, Pennsylvania",9.4,5.0,70769.0,21209.0,42,099,49632,Miller,Perry County,Township,Miller,9.4,5.0,70769.0,21209.0,49560.0,91978.0,730
"Upper Darby township, Delaware County, Pennsylvania",9.4,1.4,71481.0,4188.0,42,045,79000,Upper Darby,Delaware County,Township,Upper Darby,9.4,1.4,71481.0,4188.0,67293.0,75669.0,730
"Franklin township, Columbia County, Pennsylvania",9.4,5.4,61607.0,13264.0,42,037,27384,Franklin,Columbia County,Township,Franklin,9.4,5.4,61607.0,13264.0,48343.0,74871.0,730
"Hamiltonban township, Adams County, Pennsylvania",9.4,4.1,90521.0,18250.0,42,001,32200,Hamiltonban,Adams County,Township,Hamiltonban,9.4,4.1,90521.0,18250.0,72271.0,108771.0,730
"Morris township, Greene County, Pennsylvania",9.4,7.0,81250.0,36862.0,42,059,51064,Morris,Greene County,Township,Morris,9.4,7.0,81250.0,36862.0,44388.0,118112.0,730
"South Creek township, Bradford County, Pennsylvania",9.3,6.6,57000.0,17586.0,42,015,72096,South Creek,Bradford County,Township,South Creek,9.3,6.6,57000.0,17586.0,39414.0,74586.0,739
"West Kittanning borough, Armstrong County, Pennsylvania",9.3,5.0,65547.0,11800.0,42,005,83248,West Kittanning,Armstrong County,Borough,West Kittanning,9.3,5.0,65547.0,11800.0,53747.0,77347.0,739
"Lower Towamensing township, Carbon County, Pennsylvania",9.3,6.1,68789.0,5946.0,42,025,45128,Lower Towamensing,Carbon County,Township,Lower Towamensing,9.3,6.1,68789.0,5946.0,62843.0,74735.0,739
"Sugarloaf township, Columbia County, Pennsylvania",9.3,5.9,67857.0,15454.0,42,037,75048,Sugarloaf,Columbia County,Township,Sugarloaf,9.3,5.9,67857.0,15454.0,52403.0,83311.0,739
"Middle Smithfield township, Monroe County, Pennsylvania",9.3,3.0,88026.0,16185.0,42,089,49080,Middle Smithfield,Monroe County,Township,Middle Smithfield,9.3,3.0,88026.0,16185.0,71841.0,104211.0,739
"Union township, Snyder County, Pennsylvania",9.3,3.9,76339.0,7612.0,42,109,78408,Union,Snyder County,Township,Union,9.3,3.9,76339.0,7612.0,68727.0,83951.0,739
"Juniata township, Perry County, Pennsylvania",9.3,4.4,91522.0,11434.0,42,099,38616,Juniata,Perry County,Township,Juniata,9.3,4.4,91522.0,11434.0,80088.0,102956.0,739
"Matamoras borough, Pike County, Pennsylvania",9.3,5.4,76500.0,18005.0,42,103,48048,Matamoras,Pike County,Borough,Matamoras,9.3,5.4,76500.0,18005.0,58495.0,94505.0,739
"Carroll township, Washington County, Pennsylvania",9.3,4.7,79219.0,11094.0,42,125,11424,Carroll,Washington County,Township,Carroll,9.3,4.7,79219.0,11094.0,68125.0,90313.0,739
"Blair township, Blair County, Pennsylvania",9.3,3.7,85227.0,12049.0,42,013,06872,Blair,Blair County,Township,Blair,9.3,3.7,85227.0,12049.0,73178.0,97276.0,739
"Sadsbury township, Crawford County, Pennsylvania",9.2,4.1,70000.0,15524.0,42,039,67088,Sadsbury,Crawford County,Township,Sadsbury,9.2,4.1,70000.0,15524.0,54476.0,85524.0,749
"Delaware Water Gap borough, Monroe County, Pennsylvania",9.2,7.9,95313.0,33390.0,42,089,18736,Delaware Water Gap,Monroe County,Borough,Delaware Water Gap,9.2,7.9,95313.0,33390.0,61923.0,128703.0,749
"Donegal township, Westmoreland County, Pennsylvania",9.2,5.0,63411.0,9962.0,42,129,19480,Donegal,Westmoreland County,Township,Donegal Township,9.2,5.0,63411.0,9962.0,53449.0,73373.0,749
"Wampum borough, Lawrence County, Pennsylvania",9.2,7.0,48929.0,10110.0,42,073,80880,Wampum,Lawrence County,Borough,Wampum,9.2,7.0,48929.0,10110.0,38819.0,59039.0,749
"Lower Windsor township, York County, Pennsylvania",9.2,3.2,87090.0,12871.0,42,133,45152,Lower Windsor,York County,Township,Lower Windsor,9.2,3.2,87090.0,12871.0,74219.0,99961.0,749
"State College borough, Centre County, Pennsylvania",9.2,1.8,45424.0,6688.0,42,027,73808,State College,Centre County,Borough,State College,9.2,1.8,45424.0,6688.0,38736.0,52112.0,749
"Washington township, Berks County, Pennsylvania",9.2,4.6,98859.0,11425.0,42,011,81184,Washington,Berks County,Township,Washington,9.2,4.6,98859.0,11425.0,87434.0,110284.0,749
"Lehigh township, Wayne County, Pennsylvania",9.2,4.2,55536.0,13466.0,42,127,42432,Lehigh,Wayne County,Township,Lehigh,9.2,4.2,55536.0,13466.0,42070.0,69002.0,749
"Highland township, Clarion County, Pennsylvania",9.1,5.1,79167.0,28566.0,42,031,34456,Highland,Clarion County,Township,Highland,9.1,5.1,79167.0,28566.0,50601.0,107733.0,757
"Center township, Butler County, Pennsylvania",9.1,4.3,90946.0,14931.0,42,019,12024,Center,Butler County,Township,Center,9.1,4.3,90946.0,14931.0,76015.0,105877.0,757
"Moore township, Northampton County, Pennsylvania",9.1,3.5,102789.0,19547.0,42,095,50824,Moore,Northampton County,Township,Moore,9.1,3.5,102789.0,19547.0,83242.0,122336.0,757
"West Homestead borough, Allegheny County, Pennsylvania",9.1,4.9,77250.0,30388.0,42,003,83200,West Homestead,Allegheny County,Borough,West Homestead,9.1,4.9,77250.0,30388.0,46862.0,107638.0,757
"Silverdale borough, Bucks County, Pennsylvania",9.1,5.8,107321.0,23116.0,42,017,70744,Silverdale,Bucks County,Borough,Silverdale,9.1,5.8,107321.0,23116.0,84205.0,130437.0,757
"Homer township, Potter County, Pennsylvania",9.1,4.2,74471.0,8247.0,42,105,35400,Homer,Potter County,Township,Homer,9.1,4.2,74471.0,8247.0,66224.0,82718.0,757
"Hamilton township, Monroe County, Pennsylvania",9.1,4.0,74414.0,16272.0,42,089,32176,Hamilton,Monroe County,Township,Hamilton,9.1,4.0,74414.0,16272.0,58142.0,90686.0,757
"Limestone township, Montour County, Pennsylvania",9.1,6.8,77708.0,16230.0,42,093,43360,Limestone,Montour County,Township,Limestone,9.1,6.8,77708.0,16230.0,61478.0,93938.0,757
"Athens township, Bradford County, Pennsylvania",9.1,3.8,72237.0,16807.0,42,015,03400,Athens,Bradford County,Township,Athens Township,9.1,3.8,72237.0,16807.0,55430.0,89044.0,757
"Fishing Creek township, Columbia County, Pennsylvania",9.1,6.5,81932.0,8197.0,42,037,26056,Fishing Creek,Columbia County,Township,Fishing Creek,9.1,6.5,81932.0,8197.0,73735.0,90129.0,757
"Antrim township, Franklin County, Pennsylvania",9.1,2.9,94205.0,6791.0,42,055,02696,Antrim,Franklin County,Township,Antrim,9.1,2.9,94205.0,6791.0,87414.0,100996.0,757
"Rush township, Centre County, Pennsylvania",9.1,5.5,75732.0,13752.0,42,027,66736,Rush,Centre County,Township,Rush,9.1,5.5,75732.0,13752.0,61980.0,89484.0,757
"Rye township, Perry County, Pennsylvania",9.1,4.0,102159.0,18261.0,42,099,66976,Rye,Perry County,Township,Rye,9.1,4.0,102159.0,18261.0,83898.0,120420.0,757
"Brady township, Lycoming County, Pennsylvania",9.1,5.6,85714.0,22867.0,42,081,08136,Brady,Lycoming County,Township,Brady,9.1,5.6,85714.0,22867.0,62847.0,108581.0,757
"Bastress township, Lycoming County, Pennsylvania",9.0,6.7,97813.0,18522.0,42,081,04424,Bastress,Lycoming County,Township,Bastress,9.0,6.7,97813.0,18522.0,79291.0,116335.0,771
"Richland township, Cambria County, Pennsylvania",9.0,2.5,73209.0,12401.0,42,021,64544,Richland,Cambria County,Township,Richland,9.0,2.5,73209.0,12401.0,60808.0,85610.0,771
"Jackson township, Columbia County, Pennsylvania",9.0,6.4,62500.0,18198.0,42,037,37360,Jackson,Columbia County,Township,Jackson,9.0,6.4,62500.0,18198.0,44302.0,80698.0,771
"Bloomfield township, Bedford County, Pennsylvania",9.0,5.4,90500.0,18961.0,42,009,07024,Bloomfield,Bedford County,Township,Bloomfield,9.0,5.4,90500.0,18961.0,71539.0,109461.0,771
"Herrick township, Susquehanna County, Pennsylvania",9.0,4.8,73295.0,8606.0,42,115,34096,Herrick,Susquehanna County,Township,Herrick,9.0,4.8,73295.0,8606.0,64689.0,81901.0,771
"South Buffalo township, Armstrong County, Pennsylvania",9.0,4.4,93241.0,17165.0,42,005,72000,South Buffalo,Armstrong County,Township,South Buffalo,9.0,4.4,93241.0,17165.0,76076.0,110406.0,771
"North Buffalo township, Armstrong County, Pennsylvania",9.0,6.9,75799.0,13971.0,42,005,54856,North Buffalo,Armstrong County,Township,North Buffalo,9.0,6.9,75799.0,13971.0,61828.0,89770.0,771
"Washington township, Dauphin County, Pennsylvania",9.0,4.6,80682.0,18973.0,42,043,81216,Washington,Dauphin County,Township,Washington,9.0,4.6,80682.0,18973.0,61709.0,99655.0,771
"Franklin township, Butler County, Pennsylvania",9.0,3.2,77593.0,9854.0,42,019,27352,Franklin,Butler County,Township,Franklin,9.0,3.2,77593.0,9854.0,67739.0,87447.0,771
"Cumberland township, Adams County, Pennsylvania",9.0,3.2,83021.0,15599.0,42,001,17640,Cumberland,Adams County,Township,Cumberland,9.0,3.2,83021.0,15599.0,67422.0,98620.0,771
"Albany township, Berks County, Pennsylvania",9.0,3.6,89440.0,12382.0,42,011,00588,Albany,Berks County,Township,Albany,9.0,3.6,89440.0,12382.0,77058.0,101822.0,771
"Ridgebury township, Bradford County, Pennsylvania",9.0,5.9,67262.0,8841.0,42,015,64696,Ridgebury,Bradford County,Township,Ridgebury,9.0,5.9,67262.0,8841.0,58421.0,76103.0,771
"Upper Fairfield township, Lycoming County, Pennsylvania",9.0,3.8,79423.0,9776.0,42,081,79024,Upper Fairfield,Lycoming County,Township,Upper Fairfield,9.0,3.8,79423.0,9776.0,69647.0,89199.0,771
"Cook township, Westmoreland County, Pennsylvania",9.0,4.6,70875.0,33755.0,42,129,15912,Cook,Westmoreland County,Township,Cook,9.0,4.6,70875.0,33755.0,37120.0,104630.0,771
"Shenango township, Lawrence County, Pennsylvania",9.0,4.0,77522.0,10201.0,42,073,70080,Shenango,Lawrence County,Township,Shenango,9.0,4.0,77522.0,10201.0,67321.0,87723.0,771
"Rush township, Dauphin County, Pennsylvania",8.9,12.4,76728.0,9020.0,42,043,66744,Rush,Dauphin County,Township,Rush,8.9,12.4,76728.0,9020.0,67708.0,85748.0,786
"West Manheim township, York County, Pennsylvania",8.9,3.7,97582.0,16259.0,42,133,83440,West Manheim,York County,Township,West Manheim,8.9,3.7,97582.0,16259.0,81323.0,113841.0,786
"West Sunbury borough, Butler County, Pennsylvania",8.9,10.7,47014.0,30399.0,42,019,84064,West Sunbury,Butler County,Borough,West Sunbury,8.9,10.7,47014.0,30399.0,16615.0,77413.0,786
"Hickory township, Lawrence County, Pennsylvania",8.9,5.0,74478.0,8142.0,42,073,34248,Hickory,Lawrence County,Township,Hickory,8.9,5.0,74478.0,8142.0,66336.0,82620.0,786
"Tunnelhill borough, Blair County, Pennsylvania",8.9,15.0,48438.0,24530.0,42,013,77808,Tunnelhill,Blair County,Borough,Tunnelhill,8.9,15.0,48438.0,24530.0,23908.0,72968.0,786
